Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai South,ACTIVE,Emaar Dubai South DWC LLC,Villa complex,Green Ridge,31-12-2028,Mashreq Bank (Public Joint Stock Company),0,effective,30-01-2025,Dubai World Central,0,520,Madinat Al Mataar,
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Marine 1,31-05-2028,First Abu Dhabi Bank PJSC,2,under construction,29-01-2025,,358,0,Dubai Investment Park Second,
Dubai Development Authority,FINISHED,Culture Village (LLC),buildings,Creek houses,19-03-2017,Mashreq Bank (Public Joint Stock Company),1,success,01-02-2014,Jaddaf Waterfront,125,0,Al Jadaf,
Dubai Development Authority,ACTIVE,Damac Crescent Properties (LLC),buildings,Damac Hills - Golf Gate 2,,Dubai Islamic Bank (Public Joint Stock Company),1,effective,03-08-2023,DAMAC HILLS,464,0,Al Hebiah Third,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Samana Waves,05-11-2025,Mashreq Bank (Public Joint Stock Company),1,effective,01-07-2022,Jumeirah Village Circle,197,0,Al Barsha South Fourth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 61,27-03-2025,Abu Dhabi Commercial Bank,1,success,12-10-2023,Meydan One Community,240,0,Al Merkadh,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Mac Isola Bella,05-09-2027,Abu Dhabi Commercial Bank,1,effective,05-09-2024,Jumeirah Village Circle,207,0,Al Barsha South Fourth,
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Illumination from wishes,31-12-2027,Mashreq Bank (Public Joint Stock Company),1,effective,01-10-2024,Business Bay,41,0,Business Bay,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,Summit of the Summit,14-12-2015,Abu Dhabi Commercial Bank,1,success,07-07-2008,DownTown Dubai,397,0,Burj Khalifa,
Dubai Development Authority,ACTIVE,Dubai Sports City (LLC),buildings,Vista Prestige One,30-06-2025,Mashreq Bank (Public Joint Stock Company),1,effective,01-07-2023,Dubai Sports City,140,0,Al Hebiah Fourth,
Licenses,PENDING,International City (LLC),buildings,Eleftheria II Residences,31-07-2027,National Bank of Ras Al Khaimah PJSC,0,Under registration,01-08-2025,International City Phase 3,0,0,Warsan Fourth,
Licenses,PENDING,Nakheel Company (P.S.C.),villas,B Palm Jebel Ali - The Beach & Coral Collection - The Palm,04-12-2028,Abu Dhabi Islamic Bank,0,Under registration,05-12-2025,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,The Matrix,26-05-2014,Mashreq Bank (Public Joint Stock Company),1,success,19-11-2008,Dubai Sports City,384,0,Al Hebiah Fourth,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,Terra Tower,30-04-2027,Mashreq Bank (Public Joint Stock Company),1,under construction,01-11-2024,Dubai Land Residence Complex,366,0,Wadi Al Safa 5,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 34,14-09-2023,Abu Dhabi Commercial Bank,1,success,01-10-2017,Meydan One Community,250,0,Al Merkadh,
Dubai Municipality,PENDING,Midan Group (LLC),buildings,Future Residence,30-06-2027,National Bank of Fujairah PJSC,1,Under registration,01-11-2025,,152,0,Bukadra,
Dubai Development Authority,NOT_STARTED,Maras Real Estate (LLC),buildings,White Stone Residence,31-10-2026,Mashreq Bank (Public Joint Stock Company),1,under construction,01-06-2025,Jumeirah Garden City,46,0,Al Satwa,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Dar Al Jawhara,31-03-2020,Emirates NBD Bank (P.S.C.),1,success,26-03-2017,Jumeirah Village Circle,117,0,Al Barsha South Fourth,
Dubai Development Authority,PENDING,Dubai Sports City (LLC),buildings,Verdi by Vision,30-09-2027,National Bank of Fujairah PJSC,0,Under registration,31-12-2025,Dubai Sports City,0,0,Al Hebiah Fourth,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Residence by Reef Luxury Real Estate Development 999,30-06-2027,First Abu Dhabi Bank PJSC,2,under construction,01-04-2025,Al Furjan,148,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,Bellevue Towers,30-07-2020,Emirates NBD Bank (P.S.C.),2,success,31-10-2016,DownTown Dubai,365,0,Burj Khalifa,
Dubai Development Authority,FINISHED,Nashmi Development LLC,buildings,Town Square is a paradise and a welcome destination.,05-09-2019,Dubai Islamic Bank (Public Joint Stock Company),5,success,15-12-2015,TOWN SQUARE,729,0,Al Yelayiss 2,
Dubai Development Authority,ACTIVE,Damac Elite Investments LLC,villas,Damac Islands - Maldives 5,31-12-2028,Emirates NBD Bank (P.S.C.),0,effective,21-04-2025,,0,0,Al Yelayiss 1,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Sunshine Residence,30-12-2016,Noor Bank (Public Shareholding Company),1,success,01-06-2014,Silicon Oasis,50,0,Nadd Hessa,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,One Business Pay,05-10-2010,#VALUE!,1,success,01-12-2006,Business Bay,121,0,Business Bay,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Stong Residence,31-03-2025,Abu Dhabi Islamic Bank,1,effective,01-02-2023,Jumeirah Village Circle,156,0,Al Barsha South Fourth,
Dubai Development Authority,NOT_STARTED,Dubai Hills Estate LLC,buildings,A Palace Residences Hillside,30-06-2029,First Abu Dhabi Bank PJSC,1,under construction,30-09-2025,Dubai Hills Estate,360,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),buildings,Inso Amber,30-06-2026,Mashreq Bank (Public Joint Stock Company),1,under construction,01-09-2024,Jumeirah Garden City,71,0,Al Satwa,
Dubai Development Authority,FINISHED,MDN Real Estate LLC,villas,Cities - Phase Two (2),15-11-2015,Mashreq Bank (Public Joint Stock Company),0,success,31-05-2014,Mudon,0,1,Al Hebiah Sixth,
Dubai Development Authority,NOT_STARTED,Dubai Land Residences (LLC),buildings,The Boulevard by Prestige One,30-11-2027,Emirates NBD Bank (P.S.C.),1,under construction,01-07-2025,Dubai Land Residence Complex,387,0,Wadi Al Safa 5,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Samana Miami,01-12-2024,Emirates NBD Bank (P.S.C.),1,effective,01-01-2023,Jumeirah Village Circle,93,0,Al Barsha South Fourth,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Benghatti Orchid,,Sharjah Islamic Bank,1,success,01-08-2023,Jumeirah Village Circle,314,0,Al Barsha South Fourth,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,CF5&CF6-Canal Front Residences,30-09-2024,Emirates NBD Bank (P.S.C.),2,success,01-04-2018,Dubai Water Canal,165,0,Al Wasl,
Licenses,FINISHED,Al Farjan (LLC),buildings,Dear Farishta Residence,16-03-2020,Abu Dhabi Commercial Bank,1,success,01-09-2016,Al Furjan,295,0,Jabal Ali First,
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Grandala,31-01-2026,Abu Dhabi Commercial Bank,1,effective,01-06-2024,Jumeirah Garden City,83,0,Al Satwa,
Licenses,NOT_STARTED,International City (LLC),buildings,Longford Residences by Devan Property Development,01-05-2028,Abu Dhabi Islamic Bank,3,under construction,15-06-2025,International City Phase 1,280,0,Al Warsan First,
Licenses,ACTIVE,Al Farjan (LLC),buildings,PG Maison,31-12-2026,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-02-2025,Al Furjan,85,0,Jabal Ali First,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Visitara House,30-03-2027,Abu Dhabi Islamic Bank,1,effective,20-12-2024,Al Furjan,141,0,Jabal Ali First,
Dubai Development Authority,ACTIVE,Liwan (LLC),buildings,Tulip Oasis 11,30-06-2026,Emirates Islamic Bank Public Joint Stock Company,1,effective,28-02-2024,Majan,108,0,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Liwan (LLC),buildings,Qzone (Qubpoint Phase 3) MU007,24-06-2019,Abu Dhabi Commercial Bank,0,success,01-02-2018,Liwan1,0,0,Wadi Al Safa 2,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Lagoon Views in District One,30-03-2025,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-04-2022,Mohammed Bin Rashid AL Maktoum City -District -1 Community,104,0,Al Merkadh,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera 8,07-06-2023,Abu Dhabi Commercial Bank,1,success,15-12-2017,Meydan One Community,216,0,Al Merkadh,
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,Cove Edition Residence 2 by Imtiaz,15-10-2026,First Abu Dhabi Bank PJSC,1,effective,15-10-2024,Dubai Land Residence Complex,260,0,Wadi Al Safa 5,
Dubai South,ACTIVE,Dubai Aviation City Corporation,buildings,Dear Venice4,30-12-2025,Emirates NBD Bank (P.S.C.),3,effective,27-09-2023,Dubai World Central,389,0,Madinat Al Mataar,
Dubai Development Authority,NOT_STARTED,Elias and Mustafa Kaldari Investment and Development Management (LLC),buildings,Dear Milan 30,04-04-2027,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,04-04-2025,City Of Arabia,629,0,Wadi Al Safa 4,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,II Living Garden,19-05-2021,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-01-2018,Jumeirah Village Circle,123,0,Al Barsha South Fourth,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,buildings,Dear Venice 10,,Mashreq Bank (Public Joint Stock Company),3,under construction,29-01-2024,Dubai World Central,1297,0,Madinat Al Mataar,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),villas,Lakes? Dima 4,01-01-2003,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2000,Lakes - Deema 4,0,56,Al Thanyah Third,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,"Sabah Palace I, II, III",06-08-2015,Emirates NBD Bank (P.S.C.),3,success,10-11-2013,International Media Production Zone,406,0,Me'Aisem First,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Dear Zain,11-10-2027,Emirates NBD Bank (P.S.C.),1,effective,11-10-2024,Al Furjan,115,0,Jabal Ali First,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R009,28-11-2016,Mashreq Bank (Public Joint Stock Company),1,success,19-03-2009,Liwan1,117,0,Wadi Al Safa 2,
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),buildings,Port de la Mer - Lasirene 2,06-06-2024,Commercial Bank of Dubai (P.S.C.),3,success,05-12-2021,LA MER,130,0,Jumeirah First,
Dubai Development Authority,PENDING,Maras Real Estate (LLC),buildings,?ayb,31-08-2028,First Abu Dhabi Bank PJSC,0,Under registration,15-10-2025,Jumeirah Garden City,0,0,Al Satwa,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),Villa complex,The splendor of the Emirates? Springs 6,01-12-2004,Mashreq Bank (Public Joint Stock Company),0,success,01-01-2001,Springs - 4,0,197,Al Thanayah Fourth,
Dubai Silicon Oasis Authority,NOT_STARTED,Dubai Integrated Economic Zones Authority,buildings,Prestige Aura,01-11-2026,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,01-06-2025,Silicon Oasis,81,0,Nadd Hessa,
Dubai Development Authority,FINISHED,Dubai Sports City (LLC),buildings,Hope Tower,07-01-2025,Dubai Islamic Bank (Public Joint Stock Company),1,success,30-08-2015,Dubai Sports City,342,0,Al Hebiah Fourth,
Dubai Municipality,NOT_STARTED,Maras Real Estate (LLC),buildings,Damac City 2,,Emirates NBD Bank (P.S.C.),1,under construction,26-06-2024,Dubai Water Canal,725,0,Al Wasl,
Licenses,ACTIVE,Jumeirah Golf Estates LLC,villas,Terra Golf Collection,31-12-2027,Emirates NBD Bank (P.S.C.),0,effective,31-03-2024,Jumeirah Golf Estates,0,77,Me'Aisem First,
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,buildings,Vida Residences Clubpoint,28-02-2029,First Abu Dhabi Bank PJSC,3,effective,05-11-2024,Dubai Hills Estate,672,0,Hadaeq Sheikh Mohammed Bin Rashid,
Dubai South,NOT_STARTED,Dubai South Properties DWC LLC,buildings,Avenue 888-Modo,15-03-2028,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,15-11-2025,Dubai South Residential District,224,0,Madinat Al Mataar,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,RB Heights,15-04-2020,Abu Dhabi Commercial Bank,1,success,02-01-2015,DownTown Dubai,296,0,Burj Khalifa,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Regent's Court,28-02-2018,First Abu Dhabi Bank PJSC,1,success,06-05-2016,Jumeirah Village Circle,89,0,Al Barsha South Fourth,
Licenses,ACTIVE,International City (LLC),buildings,Silver Park Residency,30-10-2025,Sharjah Islamic Bank,1,effective,12-05-2024,International City Phase 3,76,0,Warsan Fourth,
Licenses,FINISHED,Jumeirah Golf Estates LLC,villas,Redwood Avenue,31-12-2015,#VALUE!,0,success,01-05-2008,Jumeirah Golf Estates,0,0,Me'Aisem First,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,"Mohammed Bin Rashid Al Maktoum City, District 1, Phase 3, Residences 19",30-12-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-06-2021,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Bali Residences,31-12-2023,Mashreq Bank (Public Joint Stock Company),1,success,01-06-2021,Jumeirah Village Triangle,121,0,Al Barsha South Fifth,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),villas,Serena - Bella Casa,01-10-2019,Mashreq Bank (Public Joint Stock Company),0,success,01-11-2014,800 Villas,0,458,Wadi Al Safa 7,
Dubai Development Authority,PENDING,Dubai Properties (LLC),villas,Taormina Village 2,06-07-2029,Commercial Bank of Dubai (P.S.C.),0,Under registration,01-07-2025,,0,0,Wadi Al Safa 3,
Dubai Development Authority,FINISHED,Emaar Properties (P.S.C.),buildings,1 DT,30-03-2020,Abu Dhabi Commercial Bank,1,success,01-05-2016,DownTown Dubai,133,0,Burj Khalifa,
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Ivy in Park Five,31-12-2027,Abu Dhabi Commercial Bank,1,Under registration,01-11-2025,International Media Production Zone,210,0,Me'Aisem First,
Dubai Development Authority,ACTIVE,Dubai Land (LLC),buildings,Verdis from Janan 1,31-05-2028,First Abu Dhabi Bank PJSC,6,effective,16-02-2025,,988,0,Wadi Al Safa 5,
Dubai Municipality,FINISHED,First District - Free Zone,buildings,"Mohammed Bin Rashid Al Maktoum City, District One, Phase Three, Residences 12",06-03-2023,Dubai Islamic Bank (Public Joint Stock Company),1,success,30-09-2018,Mohammed Bin Rashid AL Maktoum City -District -1 Community,159,0,Al Merkadh,
Licenses,ACTIVE,Mina Rashid Real Estate LLC,buildings,Seascape,30-11-2026,Dubai Islamic Bank (Public Joint Stock Company),4,effective,13-04-2023,Mina Rashid,395,0,Madinat Dubai Almelaheyah,
Licenses,FINISHED,Palm Jumeirah Company (LLC),Villa complex,Villas Club,30-04-2019,Abu Dhabi Commercial Bank,1,success,01-08-2015,Palm Jumeirah,10,22,Palm Jumeirah,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Churchill Tower,14-02-2009,#VALUE!,2,success,28-01-2007,Business Bay,1168,0,Business Bay,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 17,30-09-2022,Abu Dhabi Commercial Bank,1,success,01-10-2017,Meydan One Community,211,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Astoria Villas,30-06-2018,Dubai Islamic Bank (Public Joint Stock Company),0,success,31-01-2015,Jumeirah Village Circle,0,13,Al Barsha South Fourth,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Avenue Residence 1,14-02-2017,Commercial Bank of Dubai (P.S.C.),1,success,01-07-2014,Al Furjan,96,0,Jabal Ali First,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,Ghaf Land Residence,30-06-2026,Mashreq Bank (Public Joint Stock Company),1,effective,15-01-2024,Dubai Studio City,168,0,Al Hebiah Second,
Dubai South,ACTIVE,Emaar Dubai South DWC LLC,Villa complex,Greenway 2,31-05-2028,Abu Dhabi Commercial Bank,0,effective,23-10-2024,Dubai World Central,0,492,Madinat Al Mataar,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Monsa Residence 2,31-12-2026,Abu Dhabi Commercial Bank,1,under construction,01-01-2025,International City Phase 3,125,0,Warsan Fourth,
Dubai Development Authority,ACTIVE,Front Line Investment Management LLC,villas,Damac Hills (2) - Verona,,Emirates NBD Bank (P.S.C.),0,effective,19-10-2023,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,FINISHED,Front Line Investment Management LLC,villas,Damac Hills (2) - Odora,29-08-2022,Abu Dhabi Islamic Bank,0,success,01-04-2015,DAMAC HILLS 2,0,0,Madinat Hind 4,
Dubai Development Authority,NOT_STARTED,Damac Elite Investments LLC,villas,Damac Islands - Bali 1,31-12-2028,Emirates NBD Bank (P.S.C.),0,under construction,15-04-2025,,0,0,Al Yelayiss 1,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Dear Naila,30-07-2027,First Abu Dhabi Bank PJSC,1,under construction,23-07-2024,Al Furjan,274,0,Jabal Ali First,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Living,19-07-2018,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-09-2015,Jumeirah Village Circle,117,20,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),buildings,"No. 23A, No. 23B City Walk Residential",17-07-2017,Noor Bank (Public Shareholding Company),2,success,01-05-2014,City Walk,68,0,Al Wasl,
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),buildings,Porte de la Mer - La Voile,03-04-2022,Dubai Islamic Bank (Public Joint Stock Company),3,success,01-12-2019,LA MER,183,0,Jumeirah First,
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Bay Central West and Central,09-05-2012,Dubai Islamic Bank (Public Joint Stock Company),4,success,18-02-2008,Dubai Marina,748,0,Marsa Dubai,
Licenses,NOT_STARTED,Dubai Maritime City LLC,buildings,Soliver from Beyond,30-12-2028,Emirates NBD Bank (P.S.C.),3,under construction,30-03-2026,Dubai Maritime City,517,0,Madinat Dubai Almelaheyah,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,My Life Avenue,09-03-2020,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-11-2017,Jumeirah Village Circle,103,19,Al Barsha South Fourth,
Dubai Municipality,FINISHED,Shoba LLC,buildings,The Terraces,15-02-2022,Emirates NBD Bank (P.S.C.),2,success,01-11-2017,SOBHA HARTLAND,251,0,Al Merkadh,
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Rivera65,27-03-2025,Abu Dhabi Commercial Bank,1,success,05-06-2022,Meydan One Community,169,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Diamond Views 3 - Villas B,01-11-2010,#VALUE!,0,success,21-11-2008,Jumeirah Village Circle,0,19,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,The Lagoons Phase One LLC,buildings,Creek Edge,23-09-2023,Emirates NBD Bank (P.S.C.),2,success,01-08-2019,Dubai Creek Harbour,564,0,Al Khairan First,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Elysee III of the Pantheon,30-09-2024,Abu Dhabi Commercial Bank,1,success,01-10-2021,Jumeirah Village Circle,322,0,Al Barsha South Fourth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Ocean Pearl Bay SD,31-12-2026,Commercial Bank of Dubai (P.S.C.),2,effective,01-12-2024,Palm Deira,100,0,Palm Deira,
Dubai South,NOT_STARTED,Dubai Aviation City Corporation,Villa complex,Life 4,31-07-2028,Emirates NBD Bank (P.S.C.),0,under construction,30-03-2026,Dubai World Central,0,200,Madinat Al Mataar,
Dubai Municipality,FINISHED,First District - Free Zone,buildings,Dear Rivera 59,14-02-2025,Abu Dhabi Commercial Bank,1,success,04-05-2023,Meydan One Community,123,0,Al Merkadh,
Dubai Development Authority,NOT_STARTED,Union Properties (Public Joint Stock Company),buildings,Velos Residence,31-10-2028,United Bank Limited (Management Office),1,under construction,01-09-2025,Motor City,412,0,Al Hebiah First,
Dubai Development Authority,PENDING,Desert Falcon Real Estate Development LLC,buildings,Al-Sayyah Residence,,Emirates NBD Bank (P.S.C.),0,Under registration,28-06-2018,Arjan,0,0,Al Barshaa South Third,
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),buildings,Ben Gatti Twilight,30-04-2026,Sharjah Islamic Bank,1,under construction,01-04-2025,Jaddaf Waterfront,277,0,Al Jadaf,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,LA RESIDENZA,03-10-2024,Abu Dhabi Islamic Bank,1,success,01-04-2021,Jumeirah Village Circle,54,0,Al Barsha South Fourth,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R097,03-06-2014,Mashreq Bank (Public Joint Stock Company),1,success,01-05-2009,Liwan1,55,0,Wadi Al Safa 2,
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,For Oasis Residence,30-06-2026,Abu Dhabi Commercial Bank,1,effective,01-06-2024,Jumeirah Village Circle,144,0,Al Barsha South Fourth,
Licenses,FINISHED,International City (LLC),buildings,Indigo Spectrum 2,31-08-2017,Mashreq Bank (Public Joint Stock Company),1,success,10-11-2014,International City Phase 1,91,0,Al Warsan First,
Dubai Development Authority,ACTIVE,TECOM Investments Free Zone LLC,buildings,Cavalli Casa Tower,30-09-2025,Emirates NBD Bank (P.S.C.),1,effective,30-11-2021,Site A,441,0,Al Safouh Second,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),Villa complex,Serena - Casa Viva,31-05-2021,Dubai Islamic Bank (Public Joint Stock Company),0,success,30-06-2017,800 Villas,0,494,Wadi Al Safa 7,
Dubai Municipality,FINISHED,Dubai Marina Phase 1 (LLC),buildings,Liv Marina,30-05-2025,Dubai Islamic Bank (Public Joint Stock Company),1,success,20-06-2021,Dubai Marina,243,0,Marsa Dubai,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - The Trump Estates 3,28-06-2022,Abu Dhabi Commercial Bank,0,success,02-09-2016,DAMAC HILLS,0,0,Al Hebiah Third,
Dubai Development Authority,PENDING,Emaar Properties (P.S.C.),buildings,Tat Resident,31-12-2025,Abu Dhabi Islamic Bank,1,Under registration,31-12-2023,DownTown Dubai,42,0,Burj Khalifa,
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,The Maiden Residence,31-12-2025,National Bank of Ras Al Khaimah PJSC,1,effective,15-01-2024,International City Phase 3,71,0,Warsan Fourth,
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),buildings,Damac Hills - Golf Horizon,31-12-2016,Abu Dhabi Commercial Bank,2,success,01-08-2013,DAMAC HILLS,159,0,Al Hebiah Third,
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,IT PLAZA,18-09-2008,#VALUE!,1,success,30-01-2008,Silicon Oasis,296,0,Nadd Hessa,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Marina Residence,25-06-2009,#VALUE!,6,success,20-10-2010,Palm Jumeirah,980,0,Palm Jumeirah,
Dubai Development Authority,FINISHED,Emaar Development (Public Shareholding Company),villas,Arabian Squares - Elie Saab,30-11-2025,Commercial Bank of Dubai (P.S.C.),0,success,27-04-2022,,0,0,Wadi Al Safa 5,
Licenses,NOT_STARTED,Al Farjan (LLC),buildings,Sparkles from Danube,31-05-2028,Mashreq Bank (Public Joint Stock Company),2,under construction,01-06-2025,Al Furjan,358,0,Jabal Ali First,
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),villas,D Palm Jebel Ali - The Palm,17-01-2028,Abu Dhabi Islamic Bank,0,under construction,14-01-2025,Palm Jabal Ali,0,0,Palm Jabal Ali,
Dubai Development Authority,PENDING,Dubai Land Residences (LLC),buildings,Addison House 2,,Emirates NBD Bank (P.S.C.),0,Under registration,31-12-2023,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Midtown - Afnan,24-10-2019,Dubai Islamic Bank (Public Joint Stock Company),5,success,01-05-2016,International Media Production Zone,677,0,Me'Aisem First,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Westwood Grand from the franchise,31-10-2024,First Abu Dhabi Bank PJSC,1,success,01-11-2022,Jumeirah Village Circle,157,0,Al Barsha South Fourth,
Licenses,ACTIVE,Nakheel Company (P.S.C.),villas,Jebel Ali Townhouses Village - Phase 2,31-12-2025,Mashreq Bank (Public Joint Stock Company),0,effective,29-09-2022,Jabal Ali Village,0,0,Jabal Ali First,
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Dear Rivera 68,30-05-2027,Abu Dhabi Commercial Bank,1,effective,23-05-2025,Meydan One Community,112,0,Al Merkadh,
Licenses,FINISHED,Jumeirah Village (LLC),buildings,La Riviera Azzurri,15-05-2022,United Bank Limited (Management Office),1,success,01-01-2018,Jumeirah Village Circle,88,0,Al Barsha South Fourth,
Dubai Municipality,NOT_STARTED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Grand Downtown address,10-06-2028,First Abu Dhabi Bank PJSC,1,under construction,10-06-2025,,80,0,Burj Khalifa,
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Palm 01 from Benghati,30-04-2027,Dubai Islamic Bank (Public Joint Stock Company),0,Under registration,01-06-2025,Palm Jumeirah,0,0,Palm Jumeirah,
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Trafalgar Centre,08-09-2011,Mashreq Bank (Public Joint Stock Company),1,success,29-01-2008,International City Phase 1,165,0,Al Warsan First,
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan -PLOT R098,05-05-2014,Mashreq Bank (Public Joint Stock Company),1,success,01-05-2009,Liwan1,55,0,Wadi Al Safa 2,
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),villas,Damac Lagoonner - Portofino,29-06-2025,Emirates NBD Bank (P.S.C.),0,effective,24-04-2022,DAMAC Lagoons,0,0,Al Hebiah Fifth,
Dubai Silicon Oasis Authority,ACTIVE,Dubai Integrated Economic Zones Authority,buildings,Aura Elegance,01-04-2025,Dubai Islamic Bank (Public Joint Stock Company),1,effective,01-01-2024,Silicon Oasis,109,0,Nadd Hessa,
Dubai Municipality,FINISHED,Dubai Investments Park Development Company (LLC),buildings,Shawn Business Park,16-12-2015,Abu Dhabi Commercial Bank,1,success,12-10-2010,Dubai Investment Park First,376,0,Dubai Investment Park First,
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Regal Tour,23-10-2012,Dubai Islamic Bank (Public Joint Stock Company),1,success,02-04-2007,Business Bay,267,0,Business Bay,
Dubai Development Authority,ACTIVE,DHAM Free Zone LLC,buildings,The One by Priest?,30-06-2027,Emirates NBD Bank (P.S.C.),1,effective,01-01-2025,Barsha Heights,41,0,Al Thanyah First,
